"","Year","month","month_name","area","Source","monthly_mean_temperature","monthly_mean_salinity","monthly_mean_stratification","monthly_mean_density_stratification","monthly_mean_density","n_casts","mean_latitude","mean_longitude","month_label"
"71",2021,11,"November","Prince5",NA,11.8864835959214,32.4499434691209,0.0516495704650879,0.125348695090565,1024.70908134857,2,44.9306983947754,-66.8495025634766,"Nov"
"72",2022,6,"June","German Bank","DFO",9.33000007042518,NA,1.32999992370605,-Inf,NA,1,43.4982948303223,-66.4300003051758,"Jun"
"73",2022,6,"June","Prince5",NA,8.92373371124268,31.4761625803434,0.424624443054199,0.326289015712973,1024.45157614264,2,44.9306983947754,-66.8495025634766,"Jun"
"74",2022,6,"June","Prince5",NA,9.33000007042518,NA,1.32999992370605,-Inf,NA,1,43.4982948303223,-66.4300003051758,"Jun"
"75",2022,6,"June","Scots Bay","HSC",9.51942993795181,30.8907440454819,0.168818794999999,0.240353999999968,1023.902022,2,45.063,-65.21145,"Jun"
"76",2022,7,"July","Prince5",NA,10.78798358257,31.819543324984,0.223299503326416,0.212988961364431,1024.41599301005,2,44.9306983947754,-66.8495025634766,"Jul"
"77",2022,7,"July","Prince5",NA,13.2784403911004,31.5465431726896,1.27908983230591,0.543682987591194,1023.73788483098,10,45.2507392883301,-65.3273010253906,"Jul"
"78",2022,7,"July","Scots Bay","DFO",13.2784403911004,31.5465431726896,1.27908983230591,0.543682987591194,1023.73788483098,10,45.2507392883301,-65.3273010253906,"Jul"
"79",2022,7,"July","Scots Bay","HSC",12.0632856296386,30.1742390194578,0.758854614999999,0.294412999999963,1022.90914653012,2,45.0537,-65.21405,"Jul"
"80",2022,8,"August","German Bank","HSC",12.8205371914458,31.1722259763253,2.327284665,0.825003500000037,1023.53645455422,2,43.5636,-66.360566665,"Aug"
"81",2022,8,"August","Prince5",NA,14.3708066206712,31.8616066345802,1.5025749206543,0.76018462974389,1023.76371780805,2,44.9306983947754,-66.8495025634766,"Aug"
"82",2022,8,"August","Scots Bay","HSC",13.2466404711538,30.536777325641,1.14079436,0.339175000000068,1022.96584291026,1,45.0531,-65.2162,"Aug"
"83",2022,9,"September","German Bank","HSC",12.5932273009036,30.9638052221084,0.46401593,0.445599999999956,1023.42521512048,2,43.56415,-66.36345,"Sep"
"84",2022,9,"September","Prince5",NA,12.986376945789,32.5552886816171,0.267950057983398,0.249185042495355,1024.58069779365,2,44.9306983947754,-66.8495025634766,"Sep"
"85",2022,9,"September","Scots Bay","HSC",13.555837794759,30.979428676747,0.200091059999999,0.167446499999983,1023.2503143012,2,45.05365,-65.21345,"Sep"
