"","date","station_id","latitude","longitude","area","depth","temperature","salinity","Year","cast","Source","file","is_prince5","in_germanseal","in_scotsbay"
"67",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.527225187,11.10337202,31.02694815,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"68",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.826416398,11.10399866,31.03341069,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"69",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",24.35131557,11.06281872,31.23728071,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"70",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.40012949,11.08618687,31.24519675,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"71",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",24.65008834,11.0629515,31.2346759,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"72",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.69891431,11.07897525,31.24910986,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"73",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",24.94886089,11.06386082,31.23651705,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"74",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.99769845,11.07788346,31.24642308,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"75",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",17.18065997,11.07004646,31.24314475,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"76",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",13.29648298,11.08499652,31.2439368,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"77",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",25.54640471,11.06867445,31.23932846,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"78",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",13.59526884,11.09016199,31.23451733,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"79",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",17.77822085,11.06814265,31.24218536,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"80",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",13.89405555,11.09123874,31.23483784,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"81",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",26.44272352,11.07865046,31.23287058,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"82",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",14.19284192,11.09562492,31.2357461,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"83",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",18.37577788,11.07720595,31.24670728,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
"84",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",14.49162664,11.08314874,31.24460399,2019,"10J101609_20190721_154757","HSC",NA,FALSE,FALSE,TRUE
