"","source","cast","Year","month","date","station","latitude","longitude","maxDepth","n_depths","mean_temp","mean_salinity","surface_temp","bottom_temp","surface_salinity","bottom_salinity","temp_stratification","salinity_stratification"
"51","Prince5","10774",1992,10,1992-10-19,"Prince-5",44.9333000183105,-66.8499984741211,30,16,9.64375007152557,32.3993742465973,9.64833307266235,9.64166688919067,32.3683331807454,32.4216651916504,0.00666618347167969,0.0533320109049455
"52","Prince5","10775",1992,10,1992-10-19,"Prince-5",44.9333000183105,-66.8499984741211,30,16,9.64375007152557,32.3996253013611,9.64833307266235,9.64166688919067,32.3673337300619,32.4228337605794,0.00666618347167969,0.0555000305175781
"53","Prince5","10950",2009,10,2009-10-14,"Prince-5",44.9333000183105,-66.8499984741211,30,31,11.0089419580275,32.507145174088,11.0015271793712,11.0104182850231,32.4892723777077,32.5306181474165,-0.00889110565185547,0.0413457697088049
"54","Prince5","11164",1993,10,1993-10-18,"Prince-5",44.9333000183105,-66.8499984741211,30,16,10.0406250357628,32.216249704361,10.0416666666667,10.0366667111715,32.2099990844727,32.2266674041748,0.00499995549519738,0.0166683197021484
"55","Prince5","11166",1993,10,1993-10-18,"Prince-5",44.9333000183105,-66.8499984741211,30,16,10.0406250357628,32.2181253433228,10.0416666666667,10.0366667111715,32.2133344014486,32.2271664937337,0.00499995549519738,0.0138320922851562
"56","Prince5","11470",1998,10,1998-10-13,"Prince-5",44.9333000183105,-66.8499984741211,30,31,10.0703222828527,32.1870005207677,10.0699996948242,10.0699996948242,32.1780014038086,32.1956357088956,0,0.0176343050870003
"57","Prince5","11471",1998,10,1998-10-13,"Prince-5",44.9333000183105,-66.8499984741211,30,31,10.0703222828527,32.1883871016964,10.0699996948242,10.0699996948242,32.1800003051758,32.1981821927157,0,0.0181818875399529
"58","Prince5","6076",1989,10,1989-10-17,"Prince-5",44.9333000183105,-66.8499984741211,24,3,10.0500001907349,32.6699981689453,10.0500001907349,10.0500001907349,32.6699981689453,32.6699981689453,0,0
"59","Prince5","6094",1979,7,1979-07-16,"Prince-5",44.9333000183105,-66.8499984741211,24,3,9.76666673024496,31.8600006103516,9.65000009536743,10,NA,31.8600006103516,-0.349999904632568,NA
"60","Prince5","6195",1977,8,1977-08-18,"Prince-5",44.9333000183105,-66.8499984741211,24,3,10.6999998092651,32.1933326721191,10.9499998092651,10.1999998092651,32.1199989318848,32.3400001525879,0.75,0.220001220703125
"61","Prince5","8063",1978,8,1978-08-16,"Prince-5",44.9333000183105,-66.8499984741211,24,3,11.5666666030884,32.2049999237061,11.75,11.1999998092651,32.2049999237061,NA,0.550000190734863,NA
"62","Prince5","8558",1980,8,1980-08-15,"Prince-5",44.9333000183105,-66.8499984741211,24,3,10.7999998728434,32.2733332316081,11,10.3999996185303,32.2299995422363,32.3600006103516,0.600000381469727,0.130001068115234
"63","Prince5","9199",1990,10,1990-10-18,"Prince-5",44.9333000183105,-66.8499984741211,24,3,11.8133331934611,32.4633344014486,11.8449997901917,11.75,32.4700012207031,32.4500007629395,0.0949997901916504,-0.0200004577636719
"64","Prince5","9202",1990,10,1990-10-18,"Prince-5",44.9333000183105,-66.8499984741211,24,3,11.8133331934611,32.4633331298828,11.8449997901917,11.75,32.4680004119873,32.4539985656738,0.0949997901916504,-0.0140018463134766
"65","Prince5","9489",1985,10,1985-10-30,"Prince-5",44.9333000183105,-66.8499984741211,24,3,10.4333330790202,32.8366661071777,10.3999996185303,10.5,32.7899990081787,32.9300003051758,-0.100000381469727,0.14000129699707
