"file","cast","date","station_id","latitude","longitude","depth","temperature","salinity"
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,89,11.8512992858887,32.8327484130859
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,90,11.8553504943848,32.8315505981445
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,91,11.8475494384766,32.8347015380859
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,92,11.8446998596191,32.8361511230469
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,93,11.842399597168,32.8371505737305
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,94,11.8427505493164,32.8369522094727
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,95,11.8429002761841,32.837100982666
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,0,10.4818496704102,32.5540504455566
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,1,10.4832496643066,32.543098449707
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,2,10.4869499206543,32.5544509887695
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,3,10.4886493682861,32.5549011230469
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,4,10.4879503250122,32.5573997497559
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,5,10.4871997833252,32.5518493652344
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,6,10.4915504455566,32.5769996643066
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,7,10.4987001419067,32.581600189209
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,8,10.4969005584717,32.5847511291504
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,9,10.4950504302979,32.5942001342773
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,10,10.4934501647949,32.6043014526367
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,11,10.4993495941162,32.6056518554688
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,12,10.5055999755859,32.6184005737305
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,13,10.5120506286621,32.6261978149414
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,14,10.5184993743896,32.6387023925781
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,15,10.5293502807617,32.6419982910156
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,16,10.5354499816895,32.6486968994141
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,17,10.5468502044678,32.6493492126465
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,18,10.5502004623413,32.6475524902344
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,19,10.5503997802734,32.6507987976074
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,20,10.5526504516602,32.6529502868652
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,21,10.553750038147,32.6623001098633
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,22,10.559850692749,32.6641502380371
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,23,10.5608997344971,32.6651496887207
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,24,10.563099861145,32.679801940918
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,25,10.5700492858887,32.6768989562988
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,26,10.5690994262695,32.6758995056152
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,27,10.5680503845215,32.677001953125
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,28,10.5696001052856,32.6804504394531
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,29,10.5718002319336,32.6821517944336
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,30,10.57200050354,32.682300567627
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,31,10.5730495452881,32.6890487670898
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,32,10.5754499435425,32.6960983276367
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,33,10.576849937439,32.6985473632812
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,34,10.5772495269775,32.6997985839844
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,35,10.5773506164551,32.7022476196289
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,36,10.5781497955322,32.7019500732422
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,37,10.5784492492676,32.7014999389648
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,38,10.5782508850098,32.7015991210938
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,39,10.5783996582031,32.7031478881836
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,40,10.5788497924805,32.7044982910156
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,41,10.5790500640869,32.7039489746094
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,42,10.5792503356934,32.7037506103516
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,43,10.5793495178223,32.7039489746094
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,44,10.5794506072998,32.7050476074219
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,45,10.5797996520996,32.7061500549316
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,46,10.5798492431641,32.7068023681641
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,47,10.580249786377,32.7075500488281
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,48,10.5805997848511,32.7098007202148
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,49,10.5808506011963,32.7124481201172
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,50,10.5820999145508,32.7140998840332
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,51,10.5843000411987,32.7144012451172
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,52,10.5846004486084,32.7141990661621
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,53,10.5845003128052,32.7140007019043
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,54,10.5848999023438,32.7144470214844
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,55,10.5853004455566,32.7141990661621
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,56,10.5847997665405,32.7157974243164
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,57,10.5852508544922,32.7165985107422
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,58,10.5872497558594,32.7190017700195
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,59,10.5881500244141,32.7192001342773
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,60,10.5880498886108,32.7212982177734
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,61,10.5888996124268,32.7211990356445
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,62,10.5908498764038,32.7248497009277
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,63,10.59375,32.7277984619141
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,64,10.5962495803833,32.7315521240234
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,65,10.5966997146606,32.7337493896484
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,66,10.597149848938,32.738151550293
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,67,10.6016006469727,32.7579002380371
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,68,10.6148500442505,32.788948059082
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,69,10.6290998458862,32.7864990234375
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,70,10.6427001953125,32.7805480957031
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,71,10.6443004608154,32.7785491943359
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,72,10.6443500518799,32.7783508300781
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,73,10.6427993774414,32.7798004150391
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,74,10.6443500518799,32.7783966064453
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,75,10.6440000534058,32.7792510986328
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,76,10.6441993713379,32.7830505371094
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,77,10.6462497711182,32.7843017578125
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,78,10.6484003067017,32.7821502685547
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,79,10.64794921875,32.785400390625
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,80,10.6484498977661,32.790901184082
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,81,10.6527500152588,32.7910003662109
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,82,10.6550998687744,32.78955078125
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,83,10.6569995880127,32.7924003601074
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,84,10.6582498550415,32.7924499511719
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766,85,10.6583995819092,32.7924003601074
