"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",33,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",35,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",37,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",39,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",41,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",43,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",45,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",47,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",49,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",51,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",53,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",55,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",57,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",59,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",61,0.800000011920929,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",63,0.800000011920929,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",65,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",67,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",69,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",71,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",73,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",75,0.790000021457672,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",77,0.769999980926514,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",79,0.769999980926514,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",81,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",83,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",85,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",87,0.779999971389771,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",89,0.769999980926514,31.7199993133545
