Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
153.4,39.425118636620887,7.3423776626586914,32359.2109375
153.6,39.704492097160049,7.0272636413574219,32252.986328125
153.8,39.952367602376945,6.7453680038452148,32186.69921875
154,40.22968112639267,6.5439653396606445,32098.203125
154.2,40.508016989275582,6.3831262588500977,31957.666015625
154.4,40.801340797715135,6.220550537109375,31927.1796875
154.6,41.102412256301179,6.10288143157959,31904.98046875
154.8,41.410708751508309,6.0254850387573242,31882.431640625
155,41.735538144664659,5.9672045707702637,31852.29296875
155.2,42.044876052225305,5.9187450408935547,31817.6171875
155.4,42.36195779523517,5.8745908737182617,31766.0859375
155.6,42.682659685950114,5.8220396041870117,31754.21484375
155.8,43.003361576665057,5.7813124656677246,31716.29296875
156,43.3152858489718,5.7456169128417969,31676.5703125
156.2,43.614827613954319,5.7067375183105469,31667.4921875
156.4,43.884931360138012,5.6801109313964844,31633.4140625
156.6,44.1756878773178,5.6567497253417969,31566.73046875
156.8,44.474710843472195,5.6068277359008789,31526.2890625
157,44.77631635967542,5.54707670211792,31498.90625
157.2,45.084643372460683,5.497889518737793,31500.32421875
157.4,45.392455401115079,5.4635119438171387,31481.505859375
157.6,45.694583530843694,5.4310746192932129,31405.982421875
157.8,46.000850607105512,5.3824539184570312,31357.51953125
158,46.292144996599752,5.33170223236084,31365.3359375
158.2,46.590153253281493,5.2995567321777344,31348.9375
158.4,46.888676494094092,5.2783489227294922,31325.33984375
158.6,47.194436215619582,5.2571940422058105,31318.1875
158.8,47.499165968883361,5.2400197982788086,31264.60546875
159,47.771363983865882,5.2178459167480469,31230.11328125
159.2,48.043039385323013,5.1828484535217285,31210.998046875
159.4,48.345713016760612,5.14243221282959,31144.763671875
159.6,48.637018850346649,5.095919132232666,31063.8828125
159.8,48.909228309420968,5.0380721092224121,30978.66796875
160,49.199511804139817,4.9688920974731445,30889.701171875
160.2,49.504256816192651,4.873837947845459,30854.09375
160.4,49.771301175169313,4.7895545959472656,30816.4765625
160.6,50.048168379604959,4.7159395217895508,30755.123046875
160.8,50.349823486872637,4.6363019943237305,30666.169921875
161,50.642704790429377,4.5618376731872559,30634.35546875
161.2,50.90563309105643,4.495976448059082,30610.19921875
161.4,51.19437926277724,4.4305763244628906,30580.201171875
161.6,51.495019660572261,4.3700647354125977,30580.1328125
161.8,51.773443261492282,4.333552360534668,30593.0859375
162,52.041029307480663,4.3196625709533691,30590.73046875
162.2,52.30086770332256,4.3090124130249023,30568.9140625
162.4,52.567427595746487,4.2975015640258789,30586.310546875
162.6,52.751853241344243,4.2942757606506348,30607.1015625
162.8,52.837611742166608,4.2906827926635742,30609.9453125
163,52.8484724768757,4.28311824798584,30598.95703125
