Plant,Date,Method ,Harvest_Site,Boat,bait_%,small_%,med_%,large_%,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,10.6,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,10.2,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,10,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,,16.8,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,,10.8,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,,11.8,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,,12.2,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,,10.6,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,,7.4,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,,15.2,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Janice,,14.6,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Janice,,12,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Janice,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Janice,,7.2,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,15.2,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,6.2,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,7.8,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Lady Melissa,10.6,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,7.2,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,13.6,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,6,,,,,,,,,,,,,,,,,,,,
Sea Life,20-Jul-17,1,South of Seal Island,Sealife II,8.6,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,9.4,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,8.8,,,,,,,,,,,,,,,,,,,,
Sea Life,24-Jul-17,1,German Bank,Lady Janice,10.6,,,,,,,,,,,,,,,,,,,,
