Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
3,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-14-2017 12:28,8,3.4,1.5,4.7,4.7,15.9,5.5,11.2,12.9,7.5
4,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-14-2017 12:28,8,2.1,4.9,4,4.9,1.5,2.2,1.5,2,2.9
5,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-14-2017 12:30,8,8.9,3.5,12.9,7.7,5.5,10.7,5,7.8,7.8
1,German Bank,Leroy and Barry,Fillet,10:20,,8-16-2017 7:00,8,4.4,5.1,19,7.5,5.4,4.4,14.9,3.6,8
2,German Bank,Leroy and Barry,Fillet,10:20,,8-16-2017 7:01,8,11.9,2.4,9.4,7.1,10.2,2,11.4,9.9,8
3,German Bank,Leroy and Barry,Fillet,10:20,,8-16-2017 7:02,8,9.7,4.1,13.9,12.4,4.6,11.3,9.1,9.2,9.3
4,German Bank,Leroy and Barry,Fillet,10:20,,8-16-2017 7:03,8,7.3,4.2,6.6,6.6,4.8,5.7,6.5,4.3,5.8
5,German Bank,Leroy and Barry,Fillet,10:20,,8-16-2017 7:04,8,5.1,9.8,11.8,4,5.2,7.9,12.3,3.9,7.5
6,German Bank,Leroy and Barry,Fillet,10:16,,8-16-2017 8:31,8,4.1,6.1,20.6,11.4,5.5,8.1,6.6,4.7,8.4
7,German Bank,Leroy and Barry,Fillet,10:16,,8-16-2017 8:32,8,16.2,4.9,10.7,6.3,17.9,14.9,8.1,12.4,11.4
8,German Bank,Leroy and Barry,Fillet,10:16,,8-16-2017 8:33,8,4.3,7.6,12.9,4.9,8.4,10.4,9,7.6,8.1
9,German Bank,Leroy and Barry,Fillet,10:16,,8-16-2017 8:34,8,4.8,7.7,6.9,9.4,8.7,12.7,9.6,7,8.4
10,German Bank,Leroy and Barry,Fillet,10:16,,8-16-2017 8:35,8,8.6,4.8,15.9,12.4,13.8,6.4,16.4,4.7,10.4
1,German Bank,Leroy and Barry,Fillet,15:22,,8-17-2017 8:31,8,11.6,2.4,9.5,5.2,4.4,6.3,8.6,9.7,7.2
2,German Bank,Leroy and Barry,Fillet,15:22,,8-17-2017 8:32,8,15.4,9.3,6.9,3.4,3.1,14.2,12.8,12.6,9.7
3,German Bank,Leroy and Barry,Fillet,15:22,,8-17-2017 8:35,8,6.6,17,10.6,8.7,1.9,9,5.4,7.8,8.4
4,German Bank,Leroy and Barry,Fillet,15:22,,8-17-2017 8:37,8,9.7,9.8,10.3,7,14.1,6.3,4.9,7.8,8.7
5,German Bank,Leroy and Barry,Fillet,15:22,,8-17-2017 8:38,8,2,11.3,14.4,9.2,4.1,10.4,9.1,3.5,8
6,German Bank,Leroy and Barry,Fillet,10:16,,8-17-2017 9:21,8,5,6.3,4,16.6,14.4,25.7,15,5.4,11.6
7,German Bank,Leroy and Barry,Fillet,10:16,,8-17-2017 9:22,8,15.8,13.1,16.6,7.2,17.4,18.9,5.9,5.9,12.6
8,German Bank,Leroy and Barry,Fillet,10:16,,8-17-2017 9:23,8,14.6,8.6,5.8,3.6,17.2,13.7,24.6,6.6,11.8
9,German Bank,Leroy and Barry,Fillet,10:16,,8-17-2017 9:24,8,14.3,14.5,15.9,16.8,24.3,6.4,17.5,12.9,15.3
10,German Bank,Leroy and Barry,Fillet,10:16,,8-17-2017 9:25,8,13.5,12.7,22.4,15.2,7.4,6.9,15.5,4.6,12.3
11,German Bank,Morning Star,Fillet,15:22,,8-17-2017 12:17,8,13.8,14.4,7.1,8.8,3.8,12,2.6,11.4,9.2
12,German Bank,Morning Star,Fillet,15:22,,8-17-2017 12:18,8,10.9,11.4,13.1,9.6,6.1,6.4,5.9,14.4,9.7
13,German Bank,Morning Star,Fillet,15:22,,8-17-2017 12:19,8,9.2,13.1,12.5,4.3,7.2,4.7,8.3,14.1,9.2
14,German Bank,Morning Star,Fillet,15:22,,8-17-2017 12:19,8,12.8,12.2,13.2,7.8,5.7,9.1,6.6,4.7,9
15,German Bank,Morning Star,Fillet,15:22,,8-17-2017 12:20,8,3.8,11.8,1.9,14.8,3,6.1,3.1,3.8,6
16,German Bank,Morning Star,Fillet,10:16,,8-17-2017 12:45,8,14.2,15.6,6.3,17.4,11.5,16.1,9.1,3.7,11.7
17,German Bank,Morning Star,Fillet,10:16,,8-17-2017 12:46,8,18.7,8.6,8.4,23.1,14.9,11,8.8,16.2,13.7
18,German Bank,Morning Star,Fillet,10:16,,8-17-2017 12:47,8,11.8,8.2,11.9,13,6.6,10.9,13.5,11.4,10.9
19,German Bank,Morning Star,Fillet,10:16,,8-17-2017 12:48,8,14.4,13,5,14.3,5.7,12.2,13.4,20.8,12.4
20,German Bank,Morning Star,Fillet,10:16,,8-17-2017 12:48,8,11.6,8.2,22.2,11.7,11.9,11.9,11.5,9.8,12.4
1,German Bank,Leroy and Barry,Fillet,10:20,,8-21-2017 7:08,8,6,10.1,8.6,7.8,3,12.6,5,1.9,6.9
2,German Bank,Leroy and Barry,Fillet,10:20,,8-21-2017 7:09,8,4.8,8,3.2,6.7,7.4,12.2,8.3,8.4,7.4
3,German Bank,Leroy and Barry,Fillet,10:20,,8-21-2017 7:10,8,7.6,2.4,15.2,6.1,6.8,9.9,2.3,5.1,6.9
4,German Bank,Leroy and Barry,Fillet,10:20,,8-21-2017 7:10,8,4.4,10.2,4.8,5.1,6.9,15.2,19.3,11.3,9.7
5,German Bank,Leroy and Barry,Fillet,10:20,,8-21-2017 7:11,8,4.7,15.1,10,10.9,5.2,4.4,2.4,15,8.5
6,German Bank,Morning Star,Fillet,10:20,,8-21-2017 11:36,8,9.2,5.1,9.2,3.8,6.7,6.7,4.1,14.7,7.4
7,German Bank,Morning Star,Fillet,10:20,,8-21-2017 11:37,8,9,13.5,22.1,9.3,2.8,12,12.2,11.8,11.6
8,German Bank,Morning Star,Fillet,10:20,,8-21-2017 11:37,8,3.8,6.3,9,1.1,9.2,2.2,10.9,1.8,5.5
9,German Bank,Morning Star,Fillet,10:20,,8-21-2017 11:38,8,3.9,10.6,3.2,5,2.5,0,4.9,9.3,4.9
10,German Bank,Morning Star,Fillet,10:20,,8-21-2017 11:39,8,2.4,10.1,6.6,9.3,3,5.1,13.2,13.9,8
1,German Bank,Leroy and Barry,Fillet,10:22,,8-22-2017 10:39,8,6.6,1.8,2.8,5.1,4.1,8.7,9.3,12.9,6.4
2,German Bank,Leroy and Barry,Fillet,10:22,,8-22-2017 10:40,8,2.9,9.6,3.6,3,3,2.3,6.8,9.2,5.1
3,German Bank,Leroy and Barry,Fillet,10:22,,8-22-2017 10:41,8,4,12.7,2.8,4.7,9.3,3.8,4.4,15.1,7.1
4,German Bank,Leroy and Barry,Fillet,10:22,,8-22-2017 10:41,8,3.9,7.3,9.6,8.3,15.8,2.8,4.1,5.1,7.1
5,German Bank,Leroy and Barry,Fillet,10:22,,8-22-2017 10:42,8,4.8,3.2,2.1,0.6,2.6,1.6,5,11.4,3.9
1,German Bank,Leroy and Barry,Fillet,10:20,,8-23-2017 7:37,8,4.6,3.4,6.3,1.9,4.3,8,5.2,2.9,4.6
2,German Bank,Leroy and Barry,Fillet,10:20,,8-23-2017 7:38,8,9.8,4.6,10.4,3.7,3.7,8.7,4.2,11.6,7.1
3,German Bank,Leroy and Barry,Fillet,10:20,,8-23-2017 7:38,8,10.9,3.3,2.9,2.2,4.5,13,8.7,2.4,6
4,German Bank,Leroy and Barry,Fillet,10:20,,8-23-2017 7:39,8,0.9,4,2.3,3.8,4.5,5.2,9.7,1.4,4
5,German Bank,Leroy and Barry,Fillet,10:20,,8-23-2017 7:40,8,1.9,13.1,3.5,6.2,8.8,10.1,4.9,3.2,6.5
6,German Bank,Morning Star,Fillet,15:22,,8-23-2017 10:49,8,7.7,20.1,6.3,3.1,3,7.3,7.7,5.6,7.6
7,German Bank,Morning Star,Fillet,15:22,,8-23-2017 10:50,8,4.4,7.2,5.2,2.4,4.8,5.2,1.8,3.7,4.3
8,German Bank,Morning Star,Fillet,15:22,,8-23-2017 10:51,8,1.7,7.8,2.2,6.5,5.5,4.7,5,3.1,4.6
9,German Bank,Morning Star,Fillet,15:22,,8-23-2017 10:52,8,9.3,2.3,8.1,5,2.8,4.9,9.4,1.9,5.5
10,German Bank,Morning Star,Fillet,15:22,,8-23-2017 10:53,8,6.1,2.1,1.7,2.1,4.5,3.3,3.9,5.9,3.7
11,German Bank,Morning Star,Fillet,10:16,,8-23-2017 12:43,8,5.9,14.3,2,9.2,5.2,2.4,3.3,5.2,5.9
12,German Bank,Morning Star,Fillet,10:16,,8-23-2017 12:44,8,14.3,11.1,4.1,4.9,8.2,6.9,4.1,6.9,7.6
13,German Bank,Morning Star,Fillet,10:16,,8-23-2017 12:55,8,12.7,4,4.1,6.3,7.9,11.2,6.3,4.8,7.2
14,German Bank,Morning Star,Fillet,10:16,,8-23-2017 12:56,8,9.5,6.2,2.9,1.7,3.7,10.4,2.6,11.1,6
15,German Bank,Morning Star,Fillet,10:16,,8-23-2017 12:57,8,4.4,6.1,6.6,11.4,13.8,1.5,4.7,5.6,6.8
1,NE Bank,Morning Star,Bait,,21-23,8-25-2017 7:24,8,8.8,8.8,9,14.2,7.7,11.2,5.3,3.4,8.6
2,NE Bank,Morning Star,Bait,,21-24,8-25-2017 7:24,8,8.7,4.9,14.2,6.9,4,9.3,2.6,2.4,6.6
3,NE Bank,Morning Star,Bait,,21-25,8-25-2017 7:25,8,6.1,6.6,5.1,2.4,6,8.4,4.4,2.6,5.2
4,NE Bank,Morning Star,Bait,,21-26,8-25-2017 7:26,8,2.6,5.2,8.4,4.5,5.9,4.7,4.2,13.5,6.1
5,NE Bank,Morning Star,Bait,,21-27,8-25-2017 7:27,8,20.2,4.6,2.4,10.5,1.1,14.1,1.7,5.2,7.5
1,Scotts Bay,Morning Star,Fillet,15:22,,8-27-2017 16:47,8,6.1,11.6,0,13.2,5.2,16.6,5.7,9.1,8.4
2,Scotts Bay,Morning Star,Fillet,15:22,,8-27-2017 17:19,8,10,8.7,4.6,3.3,1.2,11.7,6.3,2.9,6.1
3,Scotts Bay,Morning Star,Fillet,15:22,,8-27-2017 17:19,8,6.2,5,2.3,4.9,5.8,3,6.5,4.4,4.8
4,Scotts Bay,Morning Star,Fillet,15:22,,8-27-2017 17:20,8,11.4,12.7,14,5.6,15.1,6.5,6,5,9.5
5,Scotts Bay,Morning Star,Fillet,15:22,,8-27-2017 17:21,8,2.5,3.1,7.3,4.5,4.6,14,8.3,4,6
6,Scotts Bay,Morning Star,Fillet,10:16,,8-27-2017 17:40,8,9.7,16.2,8.7,8.2,11.6,3.3,3.2,2,7.9
7,Scotts Bay,Morning Star,Fillet,10:16,,8-27-2017 17:41,8,9.2,9,5.1,12.4,4,4.8,3.5,2.8,6.4
8,Scotts Bay,Morning Star,Fillet,10:16,,8-27-2017 17:42,8,2,11.6,9.1,6.8,10.5,8.8,11.9,8.9,8.7
9,Scotts Bay,Morning Star,Fillet,10:16,,8-27-2017 17:43,8,12.4,6.8,7.1,1.3,4.8,3.3,8.3,7.4,6.4
10,Scotts Bay,Morning Star,Fillet,10:16,,8-27-2017 17:44,8,3,8.7,4.9,8.9,4.6,1.7,4.5,5,5.2
1,Scotts Bay,Morning Star,Fillet,10:20,,8-28-2017 9:38,8,1.3,4.9,4.8,12.4,3.7,15.7,8,3.3,6.8
2,Scotts Bay,Morning Star,Fillet,10:20,,8-28-2017 9:38,8,6.5,15.6,2.1,4.6,5.5,1.9,12,1.7,6.2
3,Scotts Bay,Morning Star,Fillet,10:20,,8-28-2017 9:39,8,1.9,5,6.7,2.2,0.9,1.9,5,4.2,3.5
4,Scotts Bay,Morning Star,Fillet,10:20,,8-28-2017 9:41,8,2.3,4.1,7.8,1.4,5.1,3.7,9.1,4.2,4.7
5,Scotts Bay,Morning Star,Fillet,10:20,,8-28-2017 9:42,8,9.2,1.3,1.1,11.9,4.2,4.1,3.3,1,4.5
6,Lurcher,Leroy and Barry,Bait,,21-23,8-28-2017 11:17,8,1.7,2.4,8.2,11.9,1.1,2.4,2.9,15.3,5.7
7,Lurcher,Leroy and Barry,Bait,,21-23,8-28-2017 11:18,8,3.7,2.9,7.3,8.8,0.9,4.1,8.8,2.2,4.8
8,Lurcher,Leroy and Barry,Bait,,21-23,8-28-2017 11:19,8,5.2,3.9,5.5,3.4,3.8,2.9,2.2,3.3,3.8
9,Lurcher,Leroy and Barry,Bait,,21-23,8-28-2017 11:20,8,2.8,2,3.3,1.7,5.2,2.8,1.9,3.1,2.9
10,Lurcher,Leroy and Barry,Bait,,21-23,8-28-2017 11:21,8,3.3,2.2,4.4,1.2,4.2,2.3,2.9,3.3,3
1,German Bank,Leroy and Barry,Fillet,10:20,,8-29-2017 7:17,8,11.7,8.5,16.1,1.5,4.9,4.8,2.2,6.6,7
2,German Bank,Leroy and Barry,Fillet,10:20,,8-29-2017 7:18,8,9.6,10.3,15.6,2.7,3.7,2.4,4.8,4.6,6.7
3,German Bank,Leroy and Barry,Fillet,10:20,,8-29-2017 7:19,8,2.8,11,1.4,3.7,3.8,7.1,5.8,7.1,5.3
4,German Bank,Leroy and Barry,Fillet,10:20,,8-29-2017 7:20,8,9.6,4.9,5.5,3.5,8.6,7.5,6.1,2.8,6.1
5,German Bank,Leroy and Barry,Fillet,10:20,,8-29-2017 7:21,8,14.2,13.8,1.7,2.1,10.2,9.8,7.1,8.8,8.5
6,German Bank,Morning Star,Fillet,10:20,,8-29-2017 9:36,8,7.8,3.9,4.4,4.9,2.4,1.6,4.8,3.9,4.2
7,German Bank,Morning Star,Fillet,10:20,,8-29-2017 9:37,8,3.3,1,29.1,13,2.7,9.2,3.3,3.4,8.1
8,German Bank,Morning Star,Fillet,10:20,,8-29-2017 9:38,8,1.3,3,4.3,6.8,3.1,4.1,2.3,5.1,3.8
9,German Bank,Morning Star,Fillet,10:20,,8-29-2017 9:39,8,1.7,2.4,13.5,14.3,9.6,3.6,1.5,4.4,6.4
10,German Bank,Morning Star,Fillet,10:20,,8-29-2017 9:39,8,9,3.8,2.2,1.8,6.8,3.5,6.2,3.8,4.6
1,German Bank,Leroy and Barry,Fillet,10:22,,8-30-2017 7:14,8,2.9,8.6,2.8,5.1,3.2,8.1,13.3,6.8,6.4
2,German Bank,Leroy and Barry,Fillet,10:22,,8-30-2017 7:16,8,11.4,10.9,3.5,2.8,9.2,6.6,1.8,1.4,6
3,German Bank,Leroy and Barry,Fillet,10:22,,8-30-2017 7:16,8,3.9,4.2,5.7,7,6.6,3.1,2.8,2.8,4.5
4,German Bank,Leroy and Barry,Fillet,10:22,,8-30-2017 7:17,8,7.5,1.8,5.9,4.8,12.1,2.4,2.4,5.5,5.3
5,German Bank,Leroy and Barry,Fillet,10:22,,8-30-2017 7:18,8,2.9,5.3,9.6,2.3,6.9,3.5,1.5,5.1,4.6
6,German Bank,Morning Star,Fillet,10:22,,8-30-2017 10:49,8,4.8,3.6,4.9,15.1,5.4,4.1,4.6,3.7,5.8
7,German Bank,Morning Star,Fillet,10:22,,8-30-2017 10:50,8,17.3,7.8,6.1,3,6.3,11.5,4.2,2.6,7.4
8,German Bank,Morning Star,Fillet,10:22,,8-30-2017 10:51,8,2,5.3,4.2,16.2,4.5,5.9,5.7,6.3,6.3
9,German Bank,Morning Star,Fillet,10:22,,8-30-2017 10:52,8,6.9,6.1,4.1,1.9,4.3,4.7,3.4,4,4.4
10,German Bank,Morning Star,Fillet,10:22,,8-30-2017 10:53,8,5.5,4.7,5.7,4.5,1.5,9.4,6.6,7.4,5.7
1,German Bank,Leroy and Barry,Fillet,18:24,,8-31-2017 7:21,8,15.8,3.4,6.6,5.8,4.8,11,7.8,5,7.5
2,German Bank,Leroy and Barry,Fillet,18:24,,8-31-2017 7:23,8,10.2,8.4,4,6.2,12.4,9.3,5.7,7.8,8
3,German Bank,Leroy and Barry,Fillet,18:24,,8-31-2017 7:24,8,7.3,9.8,7.3,7.7,3.7,2.9,8.7,11.7,7.4
4,German Bank,Leroy and Barry,Fillet,18:24,,8-31-2017 7:24,8,10.8,3.9,8.4,5.5,7.7,8.7,8.8,4.2,7.3
5,German Bank,Leroy and Barry,Fillet,18:24,,8-31-2017 7:25,8,6.6,5.5,6.3,5.2,4.5,7.4,14.7,5.9,7
6,German Bank,Leroy and Barry,Fillet,10:20,,8-31-2017 9:31,8,20.4,8,11,6.2,14.5,2.7,8.8,4.8,9.6
7,German Bank,Leroy and Barry,Fillet,10:20,,8-31-2017 9:33,8,14.5,8.7,15.1,8.8,10.5,4.5,13.6,12.3,11
8,German Bank,Leroy and Barry,Fillet,10:20,,8-31-2017 9:37,8,17.3,5.1,13.2,5.1,12.3,9.1,9.5,8.7,10
9,German Bank,Leroy and Barry,Fillet,10:20,,8-31-2017 9:39,8,15.5,12.7,7.1,10.7,15.3,7.7,12.6,6.3,11
10,German Bank,Leroy and Barry,Fillet,10:20,,8-31-2017 9:40,8,3.6,8.7,9.9,8.1,11.9,9.1,2.9,7.1,7.7
1,German Bank,Morning Star,Fillet,18:24,,09-01-2017 7:02,8,6.3,4.6,4.1,4.4,6.2,4.1,5.7,2.1,4.7
2,German Bank,Morning Star,Fillet,18:24,,09-01-2017 7:20,8,4.3,12.1,8.4,1.9,2.5,11.6,1.7,4.3,5.9
3,German Bank,Morning Star,Fillet,18:24,,09-01-2017 7:21,8,10.1,6.2,11.5,6.1,8.8,3.7,4.8,9.7,7.6
4,German Bank,Morning Star,Fillet,18:24,,09-01-2017 7:22,8,10.9,4.5,4.5,10.7,10,9.4,8.8,2.2,7.6
5,German Bank,Morning Star,Fillet,18:24,,09-01-2017 7:22,8,3.4,5.8,4,6.3,1.9,3.8,4.9,2.5,4.1
6,German Bank,Morning Star,Fillet,10:20,,09-01-2017 9:41,8,5.7,10.9,7.6,7.2,14.4,5.4,5.7,8.8,8.2
7,German Bank,Morning Star,Fillet,10:20,,09-01-2017 9:42,8,3.2,7.8,4.4,9.3,8.2,16.4,15.3,7.3,9
8,German Bank,Morning Star,Fillet,10:20,,09-01-2017 9:42,8,9.6,2.8,11.5,6.9,7.3,8.7,7.7,6.2,7.6
9,German Bank,Morning Star,Fillet,10:20,,09-01-2017 9:43,8,14.6,4.7,11.5,6.3,3.9,9.9,8.4,5.5,8.1
10,German Bank,Morning Star,Fillet,10:20,,09-01-2017 9:44,8,10.6,8.8,11.9,15.9,6.3,13.2,6.1,8.7,10.2
1,German Bank,Morning Star,Fillet,8:24,,09-10-2017 12:26,8,6.9,6.1,2.9,3.8,4.5,5.1,5.1,3.1,4.7
2,German Bank,Morning Star,Fillet,8:24,,09-10-2017 12:27,8,4.1,4.2,5.2,3.9,7.4,5.9,1.8,4.1,4.6
3,German Bank,Morning Star,Fillet,8:24,,09-10-2017 12:28,8,2.4,1.9,1.7,10,3.2,4.2,2.8,4,3.8
4,German Bank,Morning Star,Fillet,8:24,,09-10-2017 12:29,8,3.4,4.5,5.4,2,1.4,5.8,5.1,3.7,3.9
5,German Bank,Morning Star,Fillet,8:24,,09-10-2017 12:29,8,2.6,1.4,1.8,4.6,4.1,4.1,2.5,5.8,3.4
6,German Bank,Morning Star,Fillet,10:20,,09-10-2017 12:31,8,15.4,3.8,3.1,5.1,2,3.2,9.2,2.3,5.5
7,German Bank,Morning Star,Fillet,10:20,,09-10-2017 12:32,8,13.2,3.1,1.3,2.4,12.6,3.4,6.9,4.9,6
8,German Bank,Morning Star,Fillet,10:20,,09-10-2017 12:33,8,2.6,5.5,5,5.1,4.3,2.8,9.7,5,5
9,German Bank,Morning Star,Fillet,10:20,,09-10-2017 12:33,8,16.6,5.4,2.8,4.6,19,2,1.7,11.4,7.9
10,German Bank,Morning Star,Fillet,10:20,,09-10-2017 12:34,8,12.8,8.8,5.4,3.3,2.8,3.5,4.6,2.1,5.4
1,German Bank,Leroy and Barry,Fillet,18:24,,09-09-2017 10:47,8,3.7,5.9,6.6,3,3.1,3.8,3.2,7.9,4.7
2,German Bank,Leroy and Barry,Fillet,18:24,,09-09-2017 10:48,8,3.9,3.4,4.9,5.6,9.4,11,4.8,10.5,6.7
3,German Bank,Leroy and Barry,Fillet,18:24,,09-09-2017 10:49,8,4.5,4.1,4.6,3.7,6.6,3.3,3.1,2.3,4
4,German Bank,Leroy and Barry,Fillet,18:24,,09-09-2017 10:50,8,9.7,12.2,13.6,4,5,4.7,6.7,3.6,7.4
5,German Bank,Leroy and Barry,Fillet,18:24,,09-09-2017 10:51,8,10.1,4.4,14.1,3.7,3.4,8.2,5.6,5.9,6.9
6,German Bank,Leroy and Barry,Fillet,10:20,,09-09-2017 13:43,8,6,3,11.2,5.4,6.6,7.1,11.7,6.1,7.1
7,German Bank,Leroy and Barry,Fillet,10:20,,09-09-2017 13:45,8,8.8,11.2,8.6,2.9,2.4,5.6,8.1,4.7,6.5
8,German Bank,Leroy and Barry,Fillet,10:20,,09-09-2017 13:45,8,11.2,3.1,2.5,2.9,2.2,10.8,9,4.6,5.8
9,German Bank,Leroy and Barry,Fillet,10:20,,09-09-2017 13:46,8,8.2,3.9,9.5,8.9,5.6,9.2,5.1,7.8,7.3
10,German Bank,Leroy and Barry,Fillet,10:20,,09-09-2017 13:48,8,4.2,3.3,4.5,4,12.4,1.1,9,7.8,5.8
1,German Bank,Leroy and Barry,Fillet,18:24,,09-11-2017 7:09,8,2.8,10.9,4.4,4.8,2.8,8.9,3.9,2.6,5.1
2,German Bank,Leroy and Barry,Fillet,18:24,,09-11-2017 7:10,8,3.4,2.7,6.8,6.3,3.9,1.8,3.4,5.7,4.3
3,German Bank,Leroy and Barry,Fillet,18:24,,09-11-2017 7:11,8,7.1,5.4,3.3,8.8,6.3,5.2,1.2,12.6,6.2
4,German Bank,Leroy and Barry,Fillet,18:24,,09-11-2017 7:12,8,20.2,2.7,4.8,1.9,4,4.4,2.5,2.6,5.4
5,German Bank,Leroy and Barry,Fillet,18:24,,09-11-2017 7:13,8,7.6,2.4,4.6,3.3,4,7.4,3.7,5.2,4.8
6,German Bank,Leroy and Barry,Fillet,10:20,,09-11-2017 10:21,8,2.6,6.3,4.5,5.5,11.9,14.2,1.9,11.2,7.3
7,German Bank,Leroy and Barry,Fillet,10:20,,09-11-2017 10:22,8,13.5,1,4.2,5.2,2.5,1.5,4.5,11.5,5.5
8,German Bank,Leroy and Barry,Fillet,10:20,,09-11-2017 10:22,8,11.6,5.4,1.5,3.8,4.6,2.6,9.1,5.8,5.6
9,German Bank,Leroy and Barry,Fillet,10:20,,09-11-2017 10:23,8,11.7,4.1,4.8,4.2,5.3,15.6,3.2,8.6,7.2
10,German Bank,Leroy and Barry,Fillet,10:20,,09-11-2017 10:24,8,4.8,14.1,4.4,9.2,9.4,4.6,2.1,7.5,7
11,German Bank,Morning Star,Fillet,18:24,,09-11-2017 14:02,8,8,2.8,1.5,2.5,8.7,2.3,8.8,4.1,4.8
12,German Bank,Morning Star,Fillet,18:24,,09-11-2017 14:03,8,4.7,8.4,1.3,10.7,8.6,4.1,3.6,4.9,5.8
13,German Bank,Morning Star,Fillet,18:24,,09-11-2017 14:05,8,11.6,4.6,3.1,3.1,9.2,5,7.1,3.4,5.9
14,German Bank,Morning Star,Fillet,18:24,,09-11-2017 14:06,8,1.6,10.7,2.9,4.3,2.4,2.5,5.5,13.8,5.5
15,German Bank,Morning Star,Fillet,18:24,,09-11-2017 14:07,8,3.5,9.8,5.9,7.8,6.6,1.8,9.8,4.6,6.2
1,German Bank,Leroy and Barry,Fillet,10:20,,09-12-2017 7:03,8,3.2,7.8,4.2,4.8,3.5,2.9,2.7,15.9,5.6
2,German Bank,Leroy and Barry,Fillet,10:20,,09-12-2017 7:04,8,4.2,4.8,4.8,2,4.9,4.5,5.2,8.3,4.8
3,German Bank,Leroy and Barry,Fillet,10:20,,09-12-2017 7:04,8,1.8,5.8,8.3,4.1,5.4,3.1,13.2,2,5.5
4,German Bank,Leroy and Barry,Fillet,10:20,,09-12-2017 7:05,8,2.4,4.3,3.3,1.5,3,2.8,2.4,4.6,3
5,German Bank,Leroy and Barry,Fillet,10:20,,09-12-2017 7:06,8,1.5,23.5,3.7,3.1,3.7,10.6,1.2,3.9,6.4
6,German Bank,Morning Star,Fillet,10:20,,09-12-2017 15:31,8,5.5,5.5,7.2,2.7,6.9,5.1,3.7,4.8,5.2
7,German Bank,Morning Star,Fillet,10:20,,09-12-2017 15:36,8,4.7,5,2.2,2.4,3.1,4.9,4.9,2.7,3.7
8,German Bank,Morning Star,Fillet,10:20,,09-12-2017 15:37,8,8.3,3.9,6.3,10.7,5.2,4.7,6.1,4.5,6.2
9,German Bank,Morning Star,Fillet,10:20,,09-12-2017 15:38,8,2.2,3.8,6.1,6.1,3.2,2.8,3.2,2.2,3.7
10,German Bank,Morning Star,Fillet,10:20,,09-12-2017 15:39,8,2.5,2.8,8.3,3.2,2.5,7.6,4.2,15.5,5.8
1,German Bank,Leroy and Barry,Fillet,18:24,,9-13-2017 6:59,8,1.6,3.9,3.4,2.6,9.4,5.9,4.4,5.2,4.6
2,German Bank,Leroy and Barry,Fillet,18:24,,9-13-2017 7:00,8,5.2,12.2,0.9,1.7,1.4,1.6,4.7,2.9,3.8
3,German Bank,Leroy and Barry,Fillet,18:24,,9-13-2017 7:01,8,1.7,3.2,11.9,2.8,2,11.4,4.3,5.1,5.3
4,German Bank,Leroy and Barry,Fillet,18:24,,9-13-2017 7:02,8,7.8,3.8,3.7,3.2,11.3,4.8,9.6,5.1,6.2
5,German Bank,Leroy and Barry,Fillet,18:24,,9-13-2017 7:03,8,4.2,8.9,4,4.4,9.1,4.4,5.3,1.5,5.2
1,German Bank,Morning Star,Fillet,18:24,,9-14-2017 7:00,8,1.6,4.1,8.3,5.8,4,2.2,2.4,1.1,3.7
2,German Bank,Morning Star,Fillet,18:24,,9-14-2017 7:01,8,11.7,2.2,4.1,3.9,2.9,3.9,6.6,13,6
3,German Bank,Morning Star,Fillet,18:24,,9-14-2017 7:02,8,4,4.2,4,3.7,1.4,5,1.1,2.3,3.2
4,German Bank,Morning Star,Fillet,18:24,,9-14-2017 7:03,8,6.1,9.2,2.1,6.6,2,3.2,4.6,15.2,6.1
5,German Bank,Morning Star,Fillet,18:24,,9-14-2017 7:04,8,2.3,3.9,1.9,2.6,1.1,3.4,1.8,5.9,2.9
1,German Bank,Leroy and Barry,Fillet,18:24,,9-18-2017 8:55,8,4.6,3.5,4.8,5,3.8,4.4,4.4,3.8,4.3
2,German Bank,Leroy and Barry,Fillet,18:24,,9-18-2017 8:56,8,9.1,4.1,4,8.4,4.5,9.3,7.3,7.6,6.8
3,German Bank,Leroy and Barry,Fillet,18:24,,9-18-2017 8:57,8,5,2.6,5.2,2.3,10.3,1.9,4.2,3.7,4.4
4,German Bank,Leroy and Barry,Fillet,18:24,,9-18-2017 8:57,8,6.3,27.2,2.3,8.7,9.1,5.4,1.6,11.2,9
5,German Bank,Leroy and Barry,Fillet,18:24,,9-18-2017 8:58,8,9.1,6.7,1.6,11.7,3,2.2,2.1,14.6,6.4
1,German Bank,Morning Star,Fillet,15:22,,9-19-2017 7:03,8,9,2.4,9.9,4,9,8.1,2,6.1,6.3
2,German Bank,Morning Star,Fillet,15:22,,9-19-2017 7:04,8,1.9,6.4,4.2,4.4,9.6,3.6,6.1,2.6,4.9
3,German Bank,Morning Star,Fillet,15:22,,9-19-2017 7:05,8,10.2,2.6,5.1,1.9,4.7,3.5,2.5,3.5,4.3
4,German Bank,Morning Star,Fillet,15:22,,9-19-2017 7:05,8,3.9,18.7,4.2,7.8,3.3,4,5,3.8,6.3
5,German Bank,Morning Star,Fillet,15:22,,9-19-2017 7:06,8,4.1,4.8,3.5,1.7,4.4,10.5,2.8,4.9,4.6
