Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
3,Scots Bay,Leroy,Fillet,10:20,,6-24-2017 8:22,8,3.4,1.8,4.6,1,1.8,3.2,1.1,1.9,2.4
4,Scots Bay,Leroy,Fillet,10:20,,6-24-2017 8:24,8,1.5,1.4,2.5,2.3,6.8,3.3,3,4.6,3.2
5,Scots Bay,Leroy,Fillet,10:20,,6-24-2017 8:25,8,3.4,2.8,1.5,2.6,11.6,2.6,6,1.5,4
1,Patch,Tasha Marie,Fillet,10:16,,6-26-2017 17:35,8,24.4,0,17.4,20.2,19.1,16.1,19.3,22.7,17.4
2,Patch,Tasha Marie,Fillet,10:16,,6-26-2017 17:36,8,18.4,21.2,23.4,14.4,19.1,17.6,17,19.5,18.8
3,Patch,Tasha Marie,Fillet,10:16,,6-26-2017 17:37,8,13.3,18.9,19.8,21.3,21,18.7,21.2,20.8,19.4
4,Patch,Tasha Marie,Fillet,10:16,,6-26-2017 17:38,8,20.4,4.5,16.8,11.2,19.9,16.3,20.1,21.4,16.3
5,Patch,Tasha Marie,Fillet,10:16,,6-26-2017 17:39,8,17,20.8,17.8,16.6,22,21.9,19,20.8,19.5
6,Patch,Tasha Marie,Fillet,8:12,,6-26-2017 18:31,8,20.6,23.8,22.3,24.5,20.2,21.5,22.5,21.8,22.2
7,Patch,Tasha Marie,Fillet,8:12,,6-26-2017 18:32,8,22.5,18.7,18.2,23.6,16.1,24.2,24.1,21.4,21.1
8,Patch,Tasha Marie,Fillet,8:12,,6-26-2017 18:33,8,17.2,21.3,22,26.8,21.1,21.2,21.1,21.8,21.6
9,Patch,Tasha Marie,Fillet,8:12,,6-26-2017 18:33,8,19.9,21.1,21.9,23.2,16.6,22.1,23.5,20,21
10,Patch,Tasha Marie,Fillet,8:12,,6-26-2017 18:34,8,21.3,19.5,22.1,26,20.3,20.4,24.3,20.7,21.8
11,Patch,Morning Star,Fillet,10:16,,6-26-2017 19:01,8,16.3,15.1,11.6,9.2,8.3,8.4,15.4,8.7,11.6
12,Patch,Morning Star,Fillet,10:16,,6-26-2017 19:02,8,13.9,4.9,18.3,11.3,11.7,10.5,8.1,13.3,11.5
13,Patch,Morning Star,Fillet,10:16,,6-26-2017 19:03,8,11.6,11.5,7.4,12.6,14.8,4.9,5.4,8.8,9.6
14,Patch,Morning Star,Fillet,10:16,,6-26-2017 19:05,8,21.1,12.7,9.6,18.7,18.2,10.1,14.1,11.5,14.5
15,Patch,Morning Star,Fillet,10:16,,6-26-2017 19:05,8,10.1,13.5,17.4,17.7,12.4,9.3,4.3,12.6,12.2
16,Patch,Morning Star,Fillet,8:12,,6-26-2017 19:22,8,17.6,20,23.6,15.1,21.9,17.1,25,21.7,20.3
17,Patch,Morning Star,Fillet,8:12,,6-26-2017 19:23,8,16.2,23.6,24.7,20.2,27.3,16.6,17.3,21.4,20.9
18,Patch,Morning Star,Fillet,8:12,,6-26-2017 19:24,8,20.3,19.2,20.1,22.7,16.7,23,21.9,23,20.9
19,Patch,Morning Star,Fillet,8:12,,6-26-2017 19:24,8,22.5,24.1,16.3,19.4,24.8,17,23.7,16.2,20.5
20,Patch,Morning Star,Fillet,8:12,,6-26-2017 19:25,8,19.5,16.2,21.1,20.4,22.3,26.5,20.3,17.8,20.5
2,Patch,Tasha Marie,Fillet,10:16,,6-27-2017 15:13,8,21.9,3.1,3.9,12.1,23.5,24.3,19.3,23.1,16.4
3,Patch,Tasha Marie,Fillet,10:16,,6-27-2017 15:14,8,21.9,22,19,20,20.3,13.7,20.1,23.1,20
4,Patch,Tasha Marie,Fillet,10:16,,6-27-2017 15:14,8,19,19.3,24.3,18.7,16.7,22.2,17,19.7,19.6
5,Patch,Tasha Marie,Fillet,10:16,,6-27-2017 15:16,8,16.9,23,18.3,20.7,11.7,23.1,19.9,18.7,19
6,Patch,Tasha Marie,Fillet,10:16,,6-27-2017 15:17,8,16.9,20.1,22,9.7,10,18,27.5,25,18.7
