Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,557866,Connors,,588004,
,529282,Connors,,588005,
,533981,Connors,,588006,
,565378,Connors,,588007,
,529014,Connors,,588008,
,533777,Connors,,588009,
,529298,Connors,,588010,
,572173,Connors,,588011,
,556931,Connors,,588012,
,529311,Connors,,588013,
,529230,Connors,,588014,
,1,Connors,,588015,
,487600,Connors,,588016,
,567448,Connors,,588017,
,529341,Connors,,588018,
,532148,Connors,,588019,
,567486,Connors,,588020,
,567512,Connors,,588021,
,574029,Connors,,588022,
,567384,Connors,,588023,
,567422,Connors,,588024,
,572548,Connors,,588025,
,573468,Connors,,588026,
,564309,Connors,,588027,
,533779,Connors,,588028,
,529159,Connors,,588029,
,564618,Connors,,588030,
,569479,Connors,,588031,
,533766,Connors,,588032,
,487835,Connors,,588033,
,487541,Connors,,588034,
,585870,Connors,,588035,
,529268,Connors,,588036,
,557790,Connors,,588037,
,602821,Connors,,588038,
,564219,Connors,,588039,
,564220,Connors,,588040,
,529390,Connors,,588041,
,533778,Connors,,588042,
,529251,Connors,,588043,
,529291,Connors,,588044,
,529193,Connors,,588045,
,563743,Connors,,588046,
,564854,Connors,,588047,
,529272,Connors,,588048,
,529121,Connors,,588049,
,533931,Connors,,588050,
,567016,Connors,,588051,
,567452,Connors,,588052,
,577497,Connors,,588053,
,557814,Connors,,588054,
,505237,Connors,,588055,
,565484,Connors,,588056,
,593126,Connors,,588057,
,497211,Connors,,588058,
,524208,Connors,,588059,
,521492,Connors,,588060,
,533937,Connors,,588061,
,521788,Connors,,588062,
,505150,Connors,,588063,
,529286,Connors,,588064,
,523345,Connors,,588065,
,586018,Connors,,588066,
,578615,Connors,,588067,
,572484,Connors,,588068,
,529158,Connors,,588069,
,529289,Connors,,588070,
,509019,Connors,,588071,
,524053,Connors,,588072,
,473474,Connors,,588073,
,577882,Connors,,588074,
,560195,Connors,,588075,
,529221,Connors,,588076,
,533772,Connors,,588077,
,498195,Connors,,588078,
,521981,Connors,,588079,
,567474,Connors,,588080,
,1,Connors,,588081,
,533867,Connors,,588082,
,556552,Connors,,588083,
,529254,Connors,,588084,
,522988,Connors,,588085,
,564805,Connors,,588086,
,528157,Connors,,588087,
,567747,Connors,,588088,
,567709,Connors,,588089,
,574021,Connors,,588090,
,532441,Connors,,588091,
,468757,Scotia Gardens,,588092,
,497303,Scotia Gardens,,588093,
,497202,Scotia Gardens,,588094,
,497450,Scotia Gardens,,588095,
,524812,Scotia Gardens,,588096,
,559016,Scotia Gardens,,588097,
,471228,Scotia Gardens,,588098,
,471237,Scotia Gardens,,588099,
,521280,Scotia Gardens,,588100,
,500644,Scotia Gardens,,588101,
,564113,Scotia Gardens,,588102,
,572422,Scotia Gardens,,588103,
,572298,Scotia Gardens,,588104,
,564084,Scotia Gardens,,588105,
,593116,Scotia Gardens,,588106,
,559359,Scotia Gardens,,588107,
,501835,Scotia Gardens,,588108,
,577024,Scotia Gardens,,588109,
,467003,Scotia Gardens,,588110,
,577080,Scotia Gardens,,588111,
,498467,Scotia Gardens,,588112,
,577167,Scotia Gardens,,588113,
,578643,Scotia Gardens,,588114,
,532001,Scotia Gardens,,588115,
,567542,Scotia Gardens,,588116,
,578658,Scotia Gardens,,588117,
,577160,Scotia Gardens,,588118,
,577260,Scotia Gardens,,588119,
,532020,Scotia Gardens,,588120,
,567576,Scotia Gardens,,588121,
,567454,Scotia Gardens,,588122,
,532029,Scotia Gardens,,588123,
,532110,Scotia Gardens,,588124,
,567443,Scotia Gardens,,588125,
,567494,Scotia Gardens,,588126,
,567475,Scotia Gardens,,588127,
,577724,Scotia Gardens,,588128,
,528099,Scotia Gardens,,588129,
,567624,Scotia Gardens,,588130,
,567481,Scotia Gardens,,588131,
,577411,Scotia Gardens,,588132,
,528138,Scotia Gardens,,588133,
,567369,Scotia Gardens,,588134,
,577185,Scotia Gardens,,588135,
,528133,Scotia Gardens,,588136,
,567416,Scotia Gardens,,588137,
,578599,Scotia Gardens,,588138,
,502038,Scotia Gardens,,588139,
,567078,Scotia Gardens,,588140,
,471622,Scotia Gardens,,588141,
,471763,Scotia Gardens,,588142,
,471817,Scotia Gardens,,588143,
,567228,Scotia Gardens,,588144,
,564912,Scotia Gardens,,588145,
,564820,Scotia Gardens,,588146,
,564499,Scotia Gardens,,588147,
,564525,Scotia Gardens,,588148,
,567237,Scotia Gardens,,588149,
,567203,Scotia Gardens,,588150,
,564954,Scotia Gardens,,588201,
,567113,Scotia Gardens,,588202,
,471890,Scotia Gardens,,588203,
,572459,Scotia Gardens,,588204,
,471797,Scotia Gardens,,588205,
,471910,Scotia Gardens,,588206,
,564874,Scotia Gardens,,588207,
,569124,Scotia Gardens,,588208,
,564657,Scotia Gardens,,588209,
,567151,Scotia Gardens,,588210,
,564811,Scotia Gardens,,588211,
,564514,Scotia Gardens,,588212,
,564603,Scotia Gardens,,588213,
,471489,Scotia Gardens,,588214,
