Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments,RemovalReason,returnedJulian,Date,Lon,Lat,Ground,Julian,daysAtLarge,BOAT,returnedDate_parsed,
567439,Scots Bay,45.1,-65.05,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,NA,Days at large <= 0 ( -11 ),235,2023-09-03,-66.37361111,43.27138889,German Bank,246,-11,NA,NA,
577864,Scots Bay,45.1,-65.05,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,NA,Days at large <= 0 ( -14 ),235,2023-09-06,-65.01138889,45.15833333,Scots Bay,249,-14,NA,NA,
578675,Scots Bay,45.1,-65.05,2023-08-23,Brunswick Provider,Purse Seine,Connors,134,2023TagReturns,complete.returns,2023-08-23 Brunswick Provider,NA,Days at large <= 0 ( -12 ),235,2023-09-04,-66.36638889,43.25305556,German Bank,247,-12,NA,NA,
572673,Scots Bay,45.13333333,-65.05,2023-08-28,Fundy Monarch,Purse Seine,Connors,107,2023TagReturns,complete.returns,2023-08-28 Fundy Monarch,NA,Days at large <= 0 ( -1 ),240,2023-08-29,-66.34,43.24111111,German Bank,241,-1,NA,NA,
528653,Scots Bay,45.13333333,-65.05,2023-08-28,Fundy Monarch,Purse Seine,Connors,107,2023TagReturns,complete.returns,2023-08-28 Fundy Monarch,NA,Days at large <= 0 ( -14 ),240,2023-09-11,-65.03972222,45.14333333,Scots Bay,254,-14,NA,NA,
564641,Scots Bay,NA,NA,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
569220,Scots Bay,NA,NA,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.92277778,45.18972222,Scots Bay,241,0,NA,NA,
564556,Scots Bay,NA,NA,2023-08-29,Canada 100,Purse Seine,Connors,102,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564311,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564326,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564381,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564385,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564409,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
564548,Scots Bay,NA,NA,2023-08-29,LADY MELISSA,Purse Seine,Comeau,34,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,Scots Bay (Area 8),Days at large <= 0 ( 0 ),241,2023-08-29,-64.85777778,45.19805556,Scots Bay,241,0,NA,NA,
569218,Scots Bay,45.18333333,-65.05,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,NA,NA,Days at large <= 0 ( 0 ),241,2023-08-29,-64.92277778,45.18972222,Scots Bay,241,0,NA,NA,
528707,Scots Bay,45.18333333,-65.05,2023-08-29,Canada 100,Purse Seine,Connors,29,2023TagReturns,complete.returns,NA,NA,Days at large <= 0 ( -13 ),241,2023-09-11,-65.03972222,45.14333333,Scots Bay,254,-13,NA,NA,
532075,Scots Bay,45.18333333,-64.88333333,2023-08-30,Canada 100,Purse Seine,Connors,32,2023TagReturns,complete.returns,NA,NA,Days at large <= 0 ( -5 ),242,2023-09-04,-66.35,43.25,German Bank,247,-5,NA,NA,
567482,German Bank,NA,NA,2023-09-01,Unspecified Connors Boat,Purse Seine,Connors,NA,2023TagReturns,complete.returns,NA,NA,Days at large <= 0 ( -2 ),244,2023-09-03,-66.37361111,43.27138889,German Bank,246,-2,NA,NA,
567923,Seal Island,43.26666667,-66.35,2023-09-05,Fundy Monarch,Purse Seine,Connors,185,2023TagReturns,complete.returns,NA,Used FM as it had the biggest catch that day of connors boats.,Days at large <= 0 ( -5 ),248,2023-09-10,-65.0175,45.13833333,Scots Bay,253,-5,NA,NA,
530309,Scots Bay,NA,NA,2023-09-11,Fundy Monarch,Purse Seine,Connors,165,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),254,2023-09-11,-65.045,45.13083333,Scots Bay,254,0,NA,NA,
569804,Scots Bay,NA,NA,2023-09-11,Fundy Monarch,Purse Seine,Connors,165,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,NA,NA,Days at large <= 0 ( -1 ),254,2023-09-12,-66.34027778,44.29472222,Long Island,255,-1,NA,NA,
569808,Scots Bay,NA,NA,2023-09-12,LADY MELISSA,Purse Seine,Comeau,38,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),255,2023-09-12,-66.34027778,44.29472222,Long Island,255,0,NA,NA,
569817,Scots Bay,NA,NA,2023-09-12,LADY MELISSA,Purse Seine,Comeau,38,2023TagReturns,Comeau Tag Retrievals 2023.xlsx,NA,NA,Days at large <= 0 ( 0 ),255,2023-09-12,-66.34027778,44.29472222,Long Island,255,0,NA,NA,
