"","TAG_NUMBER","plantReturnPlace","ReturnDate","ReturnVessel","ReturnGearType","ReturnCompany","Catch.plant","dataorigin","WEIRNO","portCode","OfficialReturnPlace","ReturnNAFO","Vessel","X_return","Y_return","Catch.DFO","Wharf_Name","Actual.Date"
"436","488050","Scot's Bay",2021-09-01,"Fundy Monarch","Purse Seine","Cape Breeze",51,"Mail in Tag Returns.csv",NA,NA,NA,"4XR",NA,45.11667,-65.05,51.000015,NA,2021-09-01
"437","488052","Scotts Bay",2021-09-01,"Canada 100","Purse Seine","Connors",80,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.12483,-65.04733,80,NA,2021-09-01
"438","488070","Scotts Bay",2021-09-01,"Brunswick Provider","Purse Seine","Connors",27,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.13333,-65.03333,27,NA,2021-08-31
"439","488081","Scotts Bay",2021-09-01,"Canada 100","Purse Seine","Connors",80,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.12483,-65.04733,80,NA,2021-09-01
"440","488101","Scotts Bay",2021-09-01,"Canada 100","Purse Seine","Connors",80,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.12483,-65.04733,80,NA,2021-09-01
"441","488122","Scot's Bay",2021-09-01,"Fundy Monarch","Purse Seine","Cape Breeze",51,"Mail in Tag Returns.csv",NA,NA,NA,"4XR",NA,45.11667,-65.05,51.000015,NA,2021-09-01
"442","488138","Scotts Bay",2021-09-01,"Brunswick Provider","Purse Seine","Connors",27,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.13333,-65.03333,27,NA,2021-08-31
"443","488142","Scot's Bay",2021-09-01,"Morning Star","Purse Seine","Cape Breeze",78,"Mail in Tag Returns.csv",NA,NA,NA,"4XS",NA,44.625,-66.75,78,NA,2021-09-01
"444","488145","Scots Bay",2021-09-02,"Leroy & Barry II","Purse Seine","Scotia Garden",103,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XQ",NA,43.37,-66.435,103.000011,NA,2021-09-01
"445","488198","German Bank",2021-09-15,"Canada 100","Purse Seine","Connors",97,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.29867,-66.37833,91.000032,NA,2021-09-15
"446","488203","Scotts Bay",2021-09-01,"Canada 100","Purse Seine","Connors",80,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.12483,-65.04733,80,NA,2021-09-01
"447","488244","Scotts Bay",2021-09-01,"Brunswick Provider","Purse Seine","Connors",27,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.13333,-65.03333,27,NA,2021-08-31
"448","488248","Scotts Bay",2021-09-01,"Canada 100","Purse Seine","Connors",80,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.12483,-65.04733,80,NA,2021-09-01
"449","488266","German Bank",2021-09-02,"Fundy Monarch","Purse Seine","Connors",156,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.41667,156,NA,2021-09-02
"450","488355","German Bank",2021-09-02,"Fundy Monarch","Purse Seine","Connors",156,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.41667,156,NA,2021-09-02
"451","488502","German Bank",2021-09-08,"Fundy Monarch","Purse Seine","Connors",104,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.3,-66.4,104.00004,NA,2021-09-08
"452","488533","German Bank",2021-09-02,"Fundy Monarch","Purse Seine","Connors",156,"ConnorsReturns2021.csv",NA,NA,NA,"4XQ",NA,43.33333,-66.41667,156,NA,2021-09-02
