Year,Ground,Survey_Number,Survey_Date,HSC_Estimate,HSC_Turnover_Adjusted,DFO_Estimate,DFO_Turnover_Adjusted
2019,German Bank,3,2019-09-09,45469,36467,NA,NA
2019,German Bank,4,2019-09-25,89343,78214,NA,NA
2019,German Bank,5,2019-10-08,12431,0,NA,NA
2019,German Bank,6,2019-10-21,26790,16879,NA,NA
2019,German Bank,7,2019-11-03,1753,0,NA,NA
2019,Seal Island,1,2019-08-11,477,477,NA,NA
2019,Seal Island,2,2019-08-25,6574,6574,NA,NA
2019,Seal Island,3,2019-09-09,2752,2752,NA,NA
2019,Seal Island,4,2019-09-25,4108,4108,NA,NA
2019,Seal Island,5,2019-10-15,23555,23555,NA,NA
2019,Seal Island,6,2019-10-21,2761,2761,NA,NA
2019,Seal Island,7,2019-11-03,503,503,NA,NA
2020,Scots Bay,1,2020-06-02,14718,14718,10760,10760
2020,Scots Bay,2,2020-06-13,11954,9292,9128,9128
2020,Scots Bay,3,2020-06-27,42174,40191,39615,39615
2020,Scots Bay,4,2020-07-11,28119,22380,22213,22213
2020,Scots Bay,5,2020-07-26,23865,20435,20447,20447
2020,Scots Bay,6,2020-08-09,41914,38690,40641,40641
2020,Scots Bay,7,2020-08-23,28159,22413,23351,23351
2020,Scots Bay,8,2020-09-06,20186,16234,17227,17227
2020,Scots Bay,9,2020-09-20,10122,7296,4769,4769
2020,German Bank,1,2020-08-16,43690,43690,12895,12895
2020,German Bank,2,2020-08-31,29205,21377,26279,26279
2020,German Bank,3,2020-09-13,69343,61580,56738,56738
2020,German Bank,4,2020-09-27,16530,1713,875,875
2020,German Bank,5,2020-10-11,12046,6329,5692,5692
2020,German Bank,6,2020-10-25,7704,4761,5514,5514
2020,Seal Island,1,2020-08-16,632,632,1937,1937
2020,Seal Island,2,2020-08-31,627,627,228,228
2020,Seal Island,3,2020-09-13,228,228,577,577
2020,Seal Island,4,2020-09-27,1800,1800,1133,1133
2020,Seal Island,5,2020-10-11,677,677,599,599
2020,Seal Island,6,2020-10-25,637,637,781,781
2021,Scots Bay,1,2021-05-24,4502,4502,3269,3270
2021,Scots Bay,2,2021-06-07,13947,13339,2879,2288
2021,Scots Bay,3,2021-06-19,7056,4685,3739,3268
2021,Scots Bay,4,2021-07-04,9104,8098,6317,5861
2021,Scots Bay,5,2021-07-17,4985,3602,2949,1994
2021,Scots Bay,6,2021-08-02,10364,9817,4922,4540
2021,Scots Bay,7,2021-08-15,7705,6159,4670,4006
2021,Scots Bay,8,2021-08-29,3602,2453,3876,3228
2021,Scots Bay,9,2021-09-13,38584,38109,38224,36587
2021,Scots Bay,10,2021-09-26,1456,0,2716,0
2021,German Bank,1,2021-08-23,8338,8338,7460,7460
2021,German Bank,2,2021-09-05,40319,38551,48023,46442
2021,German Bank,3,2021-09-20,80644,73120,80447,71574
2021,German Bank,4,2021-10-05,15722,461,4280,0
2021,German Bank,5,2021-10-18,3113,0,3805,145
2021,German Bank,6,2021-11-02,12320,11197,10777,10009
2021,Seal Island,1,2021-08-23,1922,1922,1766,1766
2021,Seal Island,2,2021-09-05,3057,3057,3532,3532
2021,Seal Island,3,2021-09-20,568,568,365,365
2021,Seal Island,4,2021-10-05,4801,4801,682,682
2021,Seal Island,5,2021-10-18,1176,1176,527,527
2021,Seal Island,6,2021-11-02,538,538,462,462
2022,Scots Bay,1,2022-05-29,90746,90746,99092,99092
2022,Scots Bay,2,2022-06-12,104368,92111,113792,100407
