id,Area,X,Y
765,5Yd,-69.333333,43.966667
766,5Ye,-71.666667,41.333333
767,5Ye,-70,41.333333
768,5Ye,-70,42.333333
769,5Ye,-69.666667,42.333333
770,5Ye,-69.666667,42.833333
771,5Ye,-70.816667,42.833333
772,5Yf,-69.666667,42.833333
773,5Yf,-69.666667,42.333333
774,5Yf,-67.666667,42.333333
775,5Yf,-67.666667,43.333333
776,5Yf,-68.833333,43.333333
777,5Yf,-68.833333,43.166667
778,5Yf,-69,43.166667
779,5Yf,-69,43
780,5Yf,-69.166667,43
781,5Yf,-69.166667,42.833333
782,5Yf,-69.666667,42.833333
783,5Z,-71.666667,41.333333
784,5Z,-71.666667,39
785,5Z,-65.666667,39
786,5Z,-65.666667,42
787,5Z,-66,42.333333
788,5Z,-70,42.333333
789,5Z,-70,41.333333
790,5Z,-71.666667,41.333333
791,5Zg,-70,42.333333
792,5Zg,-70,41.333333
793,5Zg,-69.833333,41.333333
794,5Zg,-69.833333,41.166667
795,5Zg,-69.5,41.166667
796,5Zg,-69.5,41
797,5Zg,-68.833333,41
798,5Zg,-68.833333,42.333333
799,5Zg,-70,42.333333
800,5Zh,-68.833333,42.333333
801,5Zh,-68.833333,41
802,5Zh,-68.333333,41
803,5Zh,-68.333333,41.166667
804,5Zh,-68.166667,41.166667
805,5Zh,-68.166667,41.333333
806,5Zh,-67.666667,41.333333
807,5Zh,-67.666667,42.33333
808,5Zh,-68.833333,42.333333
809,5Zj,-67.666667,42.333333
810,5Zj,-67.666667,41.833333
811,5Zj,-65.666667,41.83333
812,5Zj,-65.666667,42
813,5Zj,-66,42.333333
814,5Zj,-67.666667,42.33333
815,5Zm,-67.666667,41.833333
816,5Zm,-67.666667,41.666667
817,5Zm,-67.166667,41.166667
818,5Zm,-67.166667,41
819,5Zm,-67,41
820,5Zm,-67,39.833333
821,5Zm,-66.833333,39.833333
822,5Zm,-66.833333,39.666667
823,5Zm,-66.666667,39.666667
824,5Zm,-66.666667,39
825,5Zm,-65.666667,39
826,5Zm,-65.666667,41.833333
827,5Zm,-67.666667,41.833333
828,5Zn,-68.833333,41
829,5Zn,-68.333333,41
830,5Zn,-68.333333,41.166667
831,5Zn,-68.166667,41.166667
832,5Zn,-68.166667,41.333333
833,5Zn,-67.666667,41.333333
834,5Zn,-67.666667,41.166667
835,5Zn,-67.166667,41.166667
836,5Zn,-67.166667,41
837,5Zn,-67,41
838,5Zn,-67,39.833333
839,5Zn,-66.833333,39.833333
840,5Zn,-66.833333,39.666667
841,5Zn,-66.666667,39.666667
842,5Zn,-66.666667,39
843,5Zn,-68.833333,39
844,5Zn,-68.833333,41
845,5Zo,-70,41.333333
846,5Zo,-70,39
847,5Zo,-68.833333,39
848,5Zo,-68.833333,41
849,5Zo,-69.5,41
850,5Zo,-69.5,41.166667
851,5Zo,-69.833333,41.166667
852,5Zo,-69.833333,41.333333
853,5Zo,-70,41.333333
854,5Zq,-71.666667,41.333333
855,5Zq,-71.666667,39
856,5Zq,-70,39
857,5Zq,-70,41.333333
858,5Zq,-71.666667,41.333333
859,3,-55.416667,51.583333
860,3,-55.416667,52.25
861,3,-42,52.25
862,3,-42,39
863,3,-50,39
864,3,-59.583333,47.5
865,3,-59.3,47.716667
866,4,-55.416667,52.25
867,4,-55.416667,51.583333
868,4,-59.3,47.716667
869,4,-59.583333,47.5
870,4,-50,39
871,4,-65.666667,39
872,4,-65.666667,42
873,4,-66,42.333333
874,4,-67.666667,42.333333
875,4,-67.666667,43.833333
876,4,-66.9,43.833333
877,4,-66.9,44.783333
878,4,-75,44.783333
879,4,-75,52.25
880,5,-66.9,44.783333
881,5,-66.9,43.833333
882,5,-67.666667,43.833333
883,5,-67.666667,42.333333
884,5,-66,42.333333
885,5,-65.666667,42
886,5,-65.666667,39
887,5,-71.666667,39
888,5,-71.666667,41.333333
889,5,-71.666667,44.783333
890,6,-71.666667,44.783333
891,6,-71.666667,39
892,6,-42,39
893,6,-42,35
894,6,-75.7,35
895,6,-78,35
896,6,-78,44.783333
897,6A,-71.666667,41.3
898,6A,-71.666667,39
899,6A,-74.675244,39
900,6A,-74.898251,41.141424
901,6A,-71.850488,41.831124
902,6B,-74.675244,39
903,6B,-70,39
904,6B,-70,37
905,6B,-76,37
906,6B,-76,36
907,6B,-76.234352,36.410695
908,6B,-77.27665,37.149244
909,6B,-76.681051,39.819404
910,6B,-75.266503,40.243037
911,6B,-74.745354,39.535522
912,6C,-76,36.9
913,6C,-76,37
914,6C,-70,37
915,6C,-70,35
916,6C,-76.344101,35
917,6C,-77.397855,34.801293
918,6C,-76.79571,36.393074
919,6C,-76.118297,36.468081
920,6D,-65,39
921,6D,-65,35
922,6D,-70,35
923,6D,-70,39
924,6D,-65,39
925,6E,-60,39
926,6E,-60,35
927,6E,-65,35
928,6E,-65,39
929,6E,-60,39
930,6F,-55,39
931,6F,-55,35
932,6F,-60,35
933,6F,-60,39
